sample	pattern	L1 	L2	t1	t2	tp	rate	W	freq	Q	Tmax	Stiff
85	2	0.003874707	0.002211597	1.61E-07	6.25E-07	1.81E-05	0.00E+00	0.000189675	48.26525947	0.195025596	229.2793626	9.04E-05
86	2	0.004463265	0.003527009	2.13E-07	9.09E-07	2.87E-05	0.00E+00	0.000294548	41.42886229	0.24596705	229.8403286	1.04E-03
87	2	0.003768113	0.002277748	2.20E-07	6.38E-07	2.05E-05	0.00E+00	0.000206069	51.86375871	0.168684429	202.7889585	4.08E-04
88	2	0.006444559	0.002969707	1.89E-07	8.69E-07	2.48E-05	0.00E+00	0.00020401	27.85006633	0.363302039	276.7923454	1.07E-04
89	2	0.004390851	0.002299995	2.09E-07	7.05E-07	1.09E-05	0.00E+00	0.000250987	57.32461024	0.165154395	188.7168257	1.09E-03
90	2	0.003971141	0.002884805	2.19E-07	7.44E-07	2.47E-05	0.00E+00	0.000178941	53.05644263	0.27824169	280.4161676	2.61E-04
91	2	0.005733663	0.003408095	1.94E-07	6.08E-07	1.66E-05	0.00E+00	0.000184862	27.4283296	0.248067521	202.7284238	7.06E-05
92	2	0.004081082	0.002394108	2.32E-07	7.72E-07	2.78E-05	0.00E+00	0.000178237	52.68627235	0.26630623	281.174248	2.01E-04
93	2	6.08E-03	2.79E-03	2.31E-07	9.02E-07	1.75E-05	0.00E+00	0.000143204	46.83132915	0.496356787	369.2140635	2.10E-04
94	2	0.006161629	0.003898608	1.83E-07	8.69E-07	1.88E-05	0.00E+00	0.0002667	29.28831548	0.30915746	232.1906554	1.17E-04
95	2	0.006075417	0.002334507	2.36E-07	9.96E-07	2.03E-05	0.00E+00	0.000276856	39.24119254	0.250891612	228.916324	2.37E-04
96	2	0.005352104	0.002309505	1.70E-07	7.63E-07	2.50E-05	0.00E+00	0.000265117	28.82692128	0.198274712	201.3267072	9.19E-05
97	2	0.006159852	0.002637048	2.03E-07	6.36E-07	1.22E-05	0.00E+00	0.000127259	37.14293368	0.34802017	271.2853742	1.04E-04
98	2	0.005714609	0.002990354	1.69E-07	7.98E-07	1.30E-05	0.00E+00	0.000110995	52.40869396	0.625626404	461.0815274	1.99E-04
99	2	0.006402851	0.003121119	2.43E-07	8.79E-07	2.17E-05	0.00E+00	0.000263079	29.43429753	0.259131724	207.1957123	1.20E-03
100	2	0.006516056	0.003977823	1.50E-07	9.46E-07	2.23E-05	0.00E+00	0.00029799	25.13498263	0.361215386	260.2710897	1.17E-04
101	2	0.00511072	0.002959047	2.30E-07	6.91E-07	2.00E-05	0	0.00028017	31.57187246	0.167245179	164.0214411	3.53E-05
102	2	0.005298645	0.003690356	2.24E-07	8.34E-07	1.49E-05	0	0.000233283	44.18661706	0.290027484	237.9308693	1.53E-03
103	2	0.003333931	0.00325192	2.16E-07	8.92E-07	2.78E-05	0	0.000296461	64.60332682	0.213239863	236.7763878	3.40E-04
104	2	0.006076116	0.003162893	2.43E-07	8.32E-07	1.03E-05	0	0.000124172	59.14855507	0.529239795	375.5566626	0.000221349
105	2	0.006450843	0.002968593	2.34E-07	6.84E-07	2.10E-05	0	0.000225977	23.43039627	0.218117289	178.6846559	3.38E-05
106	2	0.003127964	0.003229427	1.86E-07	6.20E-07	1.98E-05	0	0.000138502	71.63394822	0.304915176	325.3396318	0.000323898
107	2	0.003492335	0.002410988	1.65E-07	6.76E-07	1.09E-05	0	0.00022704	73.46491244	0.181651274	223.4180813	0.000380482
108	2	0.004127467	0.003077193	2.20E-07	8.00E-07	2.07E-05	0	0.000189037	57.71983934	0.300288791	289.5800737	0.00022942
109	2	0.003495729	0.002980715	2.35E-07	9.50E-07	1.54E-05	0	0.000141692	121.8787242	0.488727479	479.0302736	0.020993585
110	2	0.005259918	0.003280624	1.92E-07	6.82E-07	2.90E-05	0	0.000116414	33.20317227	0.471253049	365.2158347	0.000161846
111	2	0.003422838	0.002284082	1.67E-07	8.48E-07	2.15E-05	0	0.000110416	97.30275403	0.552354722	581.8382747	4.87E-04
112	2	0.006724806	0.003457323	2.24E-07	6.25E-07	2.72E-05	0	0.000286881	15.35172558	0.165666108	135.6626202	4.57E-05
113	2	0.006937593	0.003717878	2.29E-07	8.05E-07	1.36E-05	0	0.000179718	33.41106313	0.391539451	263.6367643	1.74E-04
114	2	0.003535725	0.002061779	2.44E-07	7.21E-07	1.59E-05	0	0.000166587	85.03489364	0.229186534	275.4264687	0.000317211
115	2	0.004868273	0.003296397	1.53E-07	9.37E-07	2.12E-05	0	0.00027082	42.15719801	0.328980314	293.5672533	0.000173213
116	2	0.004391517	0.002892053	1.55E-07	6.71E-07	2.33E-05	0	0.000166166	38.62038158	0.304619139	291.1746443	0.000121261
117	2	0.006593945	0.00223631	2.49E-07	8.16E-07	2.41E-05	0	0.000299898	25.35380374	0.173017417	163.1167965	0.000611645
118	2	0.004151397	0.002829045	1.96E-07	9.06E-07	2.64E-05	0	0.000120044	70.15104722	0.601377715	534.9619979	0.000422747
