Sample	pattern	L1 	L2	t1	t2	tp	rate	W	freq	Q	Tmax	Stiff		400	sample	10975	sec	27.4375
95	1	0.006549139	0.002111697	1.64E-07	9.45E-07	1.84E-05	0.583656536	0.000182263	32.02392287	0.554774923	357.7999358	0.000207367						
96	1	0.006000981	0.003961994	1.73E-07	6.38E-07	1.77E-05	0.428102348	0.000200055	23.6591331	0.412977245	234.1046145	0.000188569						
97	1	0.006906526	0.00298571	1.90E-07	9.98E-07	1.52E-05	0.585702646	0.000233065	31.40887606	0.513093849	289.1760735	0.000447826						
98	1	0.005684604	0.00259835	2.03E-07	6.01E-07	2.77E-05	0.320482235	0.000180877	21.87500515	0.363522498	246.1178586	0.000229485						
99	1	0.006802326	0.002921296	1.79E-07	6.34E-07	2.16E-05	0.229237722	0.000130614	22.13932936	0.708193255	394.4261759	0.000484721						
100	1	0.005322259	0.00257403	1.86E-07	8.90E-07	2.72E-05	0.584698242	0.000169583	35.54144465	0.516118602	344.2924911	0.000260915						
101	1	0.006814276	0.002412075	2.27E-07	8.46E-07	2.84E-05	0.480855291	0.000220507	22.02555481	0.398810412	249.6248328	0.000155436						
102	1	0.0059747	0.002770205	1.75E-07	6.15E-07	1.94E-05	0.311587976	0.000229014	20.95678068	0.316159967	208.9917761	0.000163902						
103	1	0.005071444	0.002491333	1.80E-07	8.60E-07	2.78E-05	0.283966031	0.000272221	31.71816494	0.392906701	282.9016439	0.000400577						
104	1	0.004596376	0.003775766	1.76E-07	9.87E-07	2.24E-05	0.530479612	0.000133069	63.68867513	0.963482019	561.8580222	0.001346637						
105	1	0.005622772	0.003092905	1.75E-07	6.16E-07	1.47E-05	0.453382014	0.000172223	29.53417923	0.384393329	244.531852	0.000236013						
106	1	0.006944392	0.002414313	2.26E-07	9.55E-07	1.94E-05	0.524368314	0.000131783	37.79857048	0.797621928	449.3121875	0.000362857						
107	1	0.004906031	0.002232575	2.38E-07	8.54E-07	1.19E-05	0.214006409	0.000281688	53.62923341	0.328900093	255.6379419	0.001172893						
108	1	0.003158999	0.003977136	2.19E-07	7.51E-07	2.01E-05	0.219549919	0.000252699	75.73778644	0.384076116	274.6338727	0.001022354						
109	1	0.005903711	0.003402656	1.96E-07	8.33E-07	1.68E-05	0.359677362	0.000134125	43.76322437	0.880828496	482.3697834	0.000672619						
110	1	0.006679109	0.002452091	1.86E-07	7.30E-07	1.17E-05	0.53314593	0.000202533	28.35318555	0.354866551	227.5029513	0.000262747						
111	1	0.006618454	0.003447192	1.88E-07	7.19E-07	2.38E-05	0.569819323	0.000276091	16.61970023	0.286501399	169.3076043	0.000162007						
112	1	0.003325011	0.002965346	1.63E-07	7.01E-07	2.77E-05	0.248541462	0.000139255	64.68104536	0.611611733	467.062889	0.001498347						
113	1	0.00517478	0.002629241	1.88E-07	9.17E-07	2.68E-05	0.366768803	0.000236047	36.21349448	0.468973426	320.2315018	0.000466537						
114	1	0.005571559	0.002428163	2.12E-07	8.70E-07	2.20E-05	0.345760547	0.000169262	40.67997075	0.595972857	393.200056	0.000670498						
115	1	0.003685924	0.003590723	1.99E-07	7.42E-07	2.55E-05	0.34807474	0.000147361	62.57667527	0.584493304	396.0067296	0.001247491						
116	1	0.004532918	0.003722669	1.96E-07	8.28E-07	2.39E-05	0.418525192	0.000292183	37.59347281	0.337240851	221.5043372	0.000482714						
117	1	0.005546306	0.003141785	2.43E-07	9.46E-07	1.34E-05	0.297401747	0.00013574	66.9649309	0.958296806	547.967586	0.001398238						
118	1	0.006007117	0.002398269	2.48E-07	8.84E-07	1.35E-05	0.563764593	0.000271659	35.99176334	0.2801821	195.7202916	0.000157994						
119	1	0.006846652	0.003141199	2.06E-07	6.71E-07	2.03E-05	0.266110977	0.000209694	20.2146111	0.443308934	252.2391994	0.000767396						
120	1	0.004975572	0.003070235	1.70E-07	8.49E-07	1.05E-05	0.413199814	0.000163758	63.76464578	0.64822612	412.5922746	0.000537458						
121	1	0.004307095	0.003204381	1.86E-07	6.54E-07	2.83E-05	0.463509657	0.000228112	30.73229835	0.27586897	202.3871766	0.000503146						
122	1	0.005701321	0.003489115	2.34E-07	8.07E-07	1.30E-05	0.528407761	0.000176133	44.16992556	0.489413642	284.6223659	0.000621238						
123	1	0.003685458	0.002659951	2.47E-07	9.23E-07	1.44E-05	0.225495479	0.000299955	84.1767125	0.338750626	270.8149512	0.055067498						
124	1	0.004701932	0.002808676	1.90E-07	6.45E-07	1.85E-05	0.595224514	0.000222709	30.78664615	0.231992227	179.5301435	0.000161404						
125	1	0.003879603	0.002708162	1.77E-07	7.17E-07	1.38E-05	0.379761673	0.000104572	84.84960735	0.705204978	516.3815558	0.000909453						
126	1	0.003974561	0.003737453	2.03E-07	9.66E-07	2.95E-05	0.247590153	0.000217085	60.53698564	0.677549357	431.6437976	0.016306151						
127	1	0.00670613	0.003187122	2.38E-07	7.70E-07	2.21E-05	0.569908972	0.000114153	30.62846379	0.722887546	380.8391422	0.002663218						
128	1	0.005568318	0.002208999	2.20E-07	7.58E-07	1.17E-05	0.299519559	0.000142896	52.38759836	0.567763023	388.6056017	0.000541086						
129	1	0.003906613	0.003406009	2.25E-07	8.19E-07	2.11E-05	0.453711281	0.000226115	57.93704755	0.356053606	257.4472753	0.000594593						
130	1	0.005401822	0.003818374	2.07E-07	7.34E-07	2.91E-05	0.440617037	0.000187985	27.86648644	0.472995337	275.398808	0.000335063						
131	1	0.005881049	0.003357557	1.71E-07	6.33E-07	1.55E-05	0.423742827	0.000273504	22.12398529	0.269196655	171.0655888	3.12E-04						
132	1	0.004858511	0.002860602	2.27E-07	8.62E-07	2.32E-05	0.372950731	0.000132204	55.43810667	0.748982848	480.3794825	0.000927115						
133	1	0.005020344	0.002750665	1.98E-07	7.37E-07	2.55E-05	0.484622571	0.000176789	33.52579803	0.408439886	280.7128365	0.000313254						
134	1	0.004923734	0.00345836	2.44E-07	8.07E-07	2.81E-05	0.549287736	0.000143639	41.92743482	0.558623619	341.9199101	0.000616203						
135	1	0.003330772	0.002930807	1.52E-07	9.23E-07	1.36E-05	0.272641387	0.000133078	129.8415817	0.968229905	715.4280604	0.002662482						
136	1	0.005765746	0.002427527	1.80E-07	9.07E-07	2.00E-05	0.223141161	0.000281893	32.00238996	0.4506055	306.5964906	0.000462773						
137	1	0.004747008	0.003144509	2.07E-07	9.30E-07	1.25E-05	0.20084881	0.000160023	76.45002494	0.880765452	550.7733905	0.002302176						
138	1	0.006804429	0.003532599	2.25E-07	6.56E-07	1.70E-05	0.398688271	0.000130268	27.83899578	0.645530855	335.6833622	0.000348823						
139	1	0.006234609	0.003265738	2.19E-07	8.56E-07	2.46E-05	0.450782152	0.000271969	24.6436617	0.377955286	223.3598598	0.000227928						
140	1	0.003722365	0.003146613	1.66E-07	9.62E-07	1.15E-05	0.432247019	0.000167707	109.8544066	0.684964662	488.1593564	0.001736705						
141	1	0.004900941	0.003610641	2.03E-07	6.91E-07	2.42E-05	0.463246472	0.000129727	39.0863848	0.591417812	354.5603094	0.000459061						
142	1	0.00553593	0.002458613	1.68E-07	6.67E-07	1.30E-05	0.581983561	0.000140549	36.35436238	0.419574192	287.2581883	0.000134646						
143	1	0.003063633	0.003915029	1.53E-07	9.88E-07	1.60E-05	0.243174101	0.000205015	123.845201	0.804080632	553.4524416	0.004752802						
144	1	0.003715597	0.003493103	1.55E-07	6.29E-07	1.98E-05	0.201757045	0.000269979	41.33455706	0.318735083	232.3343697	0.000343607						
145	1	0.00517043	0.003722696	2.41E-07	9.38E-07	2.76E-05	0.246995752	0.000249236	38.95582796	0.571223649	335.4079114	0.001086748						
146	1	0.005036089	0.002337664	2.33E-07	9.71E-07	1.34E-05	0.355145158	0.000276747	56.00377809	0.362732796	269.503322	0.001050862						
147	1	0.004530278	0.002542906	2.37E-07	8.97E-07	1.90E-05	0.577732513	0.000241928	49.38834225	0.296454024	229.8107265	0.000304719						
148	1	0.003696471	0.002489193	2.14E-07	9.23E-07	2.71E-05	0.246197523	0.000179624	74.26381065	0.591938042	463.7784492	0.0018819						
149	1	0.003321124	0.002720935	2.33E-07	6.86E-07	2.58E-05	0.210458579	0.000230938	58.94439553	0.30838231	256.9559513	0.001126551						
150	1	0.006143105	0.003845126	1.99E-07	9.34E-07	1.26E-05	0.570294472	0.000251957	37.15653274	0.453640233	253.088881	0.000892479						
151	1	0.00633083	0.002518802	1.71E-07	8.09E-07	1.79E-05	0.597561456	0.000195822	26.96998358	0.412620075	263.7537231	0.00011383						
152	1	0.005417914	0.003889817	1.99E-07	7.75E-07	2.55E-05	0.377161627	0.000248813	27.83034373	0.418165543	246.5339931	0.000357824						
153	1	0.003212	0.002175644	2.30E-07	8.62E-07	1.06E-05	0.487920622	0.000211413	119.2633467	0.285220551	271.5247708	0.00064481						
154	1	0.003441632	0.002433295	2.31E-07	6.55E-07	2.76E-05	0.205102225	0.000284711	46.62474749	0.224251449	200.9510803	0.001512833						
155	1	0.004508637	0.002335623	2.04E-07	6.41E-07	1.08E-05	0.588636753	0.000286646	38.53598239	0.15499408	137.5988278	0.00088719						
156	1	0.004443712	0.003288411	1.57E-07	6.83E-07	1.08E-05	0.260038689	0.000193872	53.30996553	0.475963548	321.4565913	0.000603136						
157	1	0.006965228	0.002854125	2.46E-07	8.90E-07	2.16E-05	0.482176477	0.000208052	27.15642607	0.486606559	277.2217996	0.00098897						
158	1	0.003020116	0.003565032	2.43E-07	6.03E-07	2.65E-05	0.242128073	0.000253467	57.79153577	0.255045751	203.9262981	0.00120774						
159	1	0.004072644	0.003527688	2.31E-07	6.42E-07	1.94E-05	0.328129053	0.000143812	55.42046771	0.496298783	329.7748274	0.001084528						
160	1	0.006430175	0.002519693	2.38E-07	6.75E-07	2.52E-05	0.456935663	0.000106338	28.95753683	0.652150105	383.6382266	0.000321216						
161	1	0.005267484	0.002752819	1.71E-07	9.17E-07	1.29E-05	0.205138299	0.000197828	54.24492144	0.721780161	466.1557071	0.000926276						
