sample	pattern	L1 	L2	t1	t2	tp	rate	W	freq	Q	Tmax	Stiff
1538	3	0.004985499	0.002457284	1.61E-07	7.80E-07	1.06E-05	0.396564321	0.000146739	40.63698489	0.14547119	322.973306	0.000326934
1539	3	0.004376833	0.003181497	1.73E-07	9.56E-07	2.13E-05	0.267142507	0.000266069	35.40992204	0.147621462	260.980257	0.000812321
1540	3	0.004255943	0.003153141	1.62E-07	8.67E-07	1.36E-05	0.52408302	0.000135591	51.97758232	0.200539797	352.5532136	0.000677382
1541	3	0.00322991	0.003166513	2.20E-07	9.62E-07	1.58E-05	0.363975602	0.000271982	68.93190803	0.119060879	215.558864	0.001193578
1542	3	0.006991955	0.003232735	2.46E-07	6.16E-07	1.36E-05	0.274505377	0.000122214	20.77606954	0.155171303	272.0079601	0.000308789
1543	3	0.006510024	0.003230341	2.26E-07	8.18E-07	1.39E-05	0.268901874	0.000252128	21.60333441	0.111123721	200.3167424	0.00031704
1544	3	0.006446237	0.003663045	2.25E-07	8.88E-07	2.05E-05	0.312356915	0.000282443	18.89441218	0.118682648	191.4578452	0.000310955
1545	3	0.00344295	0.002708865	1.62E-07	8.42E-07	1.72E-05	0.447746794	0.000215026	50.87061239	0.114855894	240.3446939	0.000539389
1546	3	0.005883438	0.003114457	1.95E-07	7.38E-07	1.12E-05	0.288352326	0.000188809	27.22555997	0.127069847	236.5533518	0.000282332
1547	3	0.005899037	0.003485759	1.76E-07	6.02E-07	2.57E-05	0.443399929	0.000297402	10.71167601	0.061349358	115.3548549	6.99E-05
1548	3	0.004437689	0.003928651	2.37E-07	7.74E-07	1.31E-05	0.264203194	0.000230273	40.02147898	0.128859763	199.0295545	0.000305841
1549	3	0.004278131	0.002297678	1.66E-07	7.01E-07	1.97E-05	0.55798571	0.000185618	27.969041	0.079959206	199.5679879	0.000204891
1550	3	0.004150273	0.002600198	2.06E-07	9.07E-07	2.81E-05	0.322369016	0.000173214	39.75738918	0.158092037	327.773917	0.000559132
1551	3	0.005415301	0.002978431	1.74E-07	9.49E-07	2.06E-05	0.361934391	0.00024633	26.39578836	0.137007809	256.7291895	0.000330808
1552	3	0.005888026	0.003407623	1.80E-07	6.32E-07	2.24E-05	0.581135894	0.000193674	14.16674424	0.085872108	158.366124	0.000120742
1553	3	0.004340944	0.003387181	1.96E-07	7.01E-07	1.95E-05	0.379505926	0.000222372	28.43035657	0.098905677	178.0548347	0.00034428
1554	3	0.003344479	0.003945724	1.70E-07	6.36E-07	2.09E-05	0.201909639	0.000132478	44.83861792	0.205177629	306.4856166	0.001965953
1555	3	0.00518374	0.003261317	1.89E-07	8.27E-07	1.17E-05	0.234429873	0.000200184	35.77714062	0.156543207	274.6047719	0.000480799
1556	3	0.004007975	0.002346057	1.53E-07	9.51E-07	1.12E-05	0.442939301	0.000193518	60.72152999	0.142640254	325.2595228	0.00054218
1557	3	0.004430889	0.002892563	2.30E-07	9.26E-07	1.61E-05	0.355734197	0.000149371	53.71413436	0.187438095	349.5593537	0.000998514
1558	3	0.00365722	0.003502405	1.56E-07	6.37E-07	2.88E-05	0.543191422	0.000216734	23.9665397	0.086859635	157.0474955	0.000249786
1559	3	0.004521192	0.002720735	1.79E-07	6.34E-07	2.29E-05	0.417759729	0.000286639	18.7125678	0.057679573	129.9324132	0.000137798
1560	3	0.005679896	0.003850223	2.07E-07	9.65E-07	2.86E-05	0.576277718	0.000157543	25.50915031	0.206371942	302.5676591	0.000547205
1561	3	0.00625827	0.003050401	2.32E-07	8.79E-07	2.75E-05	0.471370284	0.000213542	18.75645308	0.114695088	215.1344963	0.000232094
1562	3	0.003115266	0.003518846	1.68E-07	8.24E-07	2.06E-05	0.480028025	0.000160802	60.14503587	0.175942292	289.3773445	0.001166036
1563	3	0.006808277	0.00308956	1.76E-07	6.08E-07	2.51E-05	0.306197398	0.000101574	15.13897671	0.19031691	340.2111225	0.000235087
