Sample	m 	n	tcrease	tpanel	W	bend stiff 0.3	bend stiff 0.6	bend stiff 0.9	axial stiff 0.3	axial stiff 0.6	axial stiff 0.9
617	24	6	0.000967745	0.005365845	3.35E-03	4.36E+04	5.69E+03	623.5802948	153117.9037	41122.56446	11178.50881
618	24	12	0.000541058	0.001954529	2.17E-03	4.58E+03	1.80E+03	1087.665187	24664.25851	18182.94326	21188.01029
619	30	12	0.000852817	0.004903135	3.52E-03	2.93E+04	6.31E+03	1352.342002	167090.7893	73752.17213	32980.83874
620	30	9	0.000975446	0.002039767	1.86E-03	7.50E+03	1.63E+03	339.093007	34930.52726	16345.67478	7891.640113
621	30	12	0.000507694	0.002921469	3.55E-03	6.98E+03	2.04E+03	695.5222622	39111.88825	23000.66615	16367.75369
622	24	12	0.000956028	0.005530456	2.58E-03	6.47E+04	1.57E+04	4147.780611	369313.8666	174114.0059	86903.92098
623	3.00E+01	12	0.000902086	0.005719254	1.27E-03	1.03E+05	1.47E+04	1793.678147	592650.8114	166130.1525	44149.91033
624	24	12	0.000724503	0.005173003	3.11E-03	4.53E+04	1.19E+04	3690.776004	261017.6144	133501.583	76776.35254
625	2.40E+01	12	0.000565468	0.004348324	2.81E-03	3.05E+04	8.61E+03	2996.473711	176582.2811	95800.33459	61839.01892
626	36	6	0.000892194	0.001735871	3.89E-03	2.13E+03	3.21E+02	39.83074661	9687.52359	3178.714858	954.0286398
627	3.00E+01	6	0.000723949	0.005184172	2.54E-03	2.72E+04	2.28E+03	191.332683	108243.1393	18833.90344	4168.085521
628	24	9	0.000854736	0.005993027	1.01E-03	1.68E+05	2.24E+04	2455.975924	759749.9205	191887.3859	47294.37452
629	30	12	0.000841873	0.00133206	2.09E-03	2.61E+03	8.64E+02	363.8434077	14428.28876	9662.373214	8755.448146
630	24	12	0.000960383	0.001455864	2.59E-03	3.08E+03	1.27E+03	853.6898395	16395.65027	12751.48207	16955.04212
631	36	6	0.000787122	0.005937471	1.17E-03	2.16E+04	1.46E+03	135.1793193	93577.26186	13522.92264	3381.854715
632	36	6	0.000625076	0.003366598	2.26E-03	7.38E+03	6.13E+02	56.40195611	32693.39846	5875.261406	1388.592912
633	36	12	0.000811967	0.003787684	1.61E-03	2.39E+04	3.68E+03	508.4011648	141970.7829	45740.59672	14403.14459
634	3.60E+01	9	0.00085887	0.004986824	2.42E-03	2.90E+04	2.96E+03	285.8458269	147227.0862	31717.84139	7706.8731
635	30	9	0.000512282	0.005337637	2.53E-03	4.48E+04	5.87E+03	640.4370817	224879.921	58871.34042	14712.26997
636	36	9	0.000983123	0.003511984	1.42E-03	2.10E+04	2.52E+03	286.8159437	106411.2262	26859.04497	7656.315085
637	36	6	0.000611995	0.001606305	1.43E-03	2.71E+03	3.42E+02	38.42189078	12188.24198	3295.790487	908.2998014
638	24	12	0.00081518	0.005439413	1.03E-03	1.35E+05	2.56E+04	4422.375106	780960.038	279887.381	92969.67701
639	24	6	0.000577648	0.00238384	1.93E-03	8.85E+03	1.62E+03	259.1195961	30365.5834	12015.56831	4618.804854
640	24	9	0.000885541	0.002444288	1.75E-03	1.23E+04	3.23E+03	925.2569623	52471.67277	28584.85638	17787.20191
641	30	12	0.000965521	0.005593988	3.76E-03	3.97E+04	8.07E+03	1576.975909	227362.848	94280.48632	38593.58578
642	30	6	0.000756823	0.003428234	3.84E-03	8.99E+03	1.14E+03	127.5328836	35550.98527	9785.541497	2765.230805
643	24	6	0.000719033	0.00391708	3.84E-03	1.77E+04	2.94E+03	408.4488846	61629.11338	21739.65525	7280.001792
644	3.00E+01	12	0.000771727	0.003125674	2.06E-03	1.42E+04	3.41E+03	869.6916788	80339.46557	39632.078	21171.67313
645	24	6	0.000679478	0.005229153	1.69E-03	6.19E+04	6.53E+03	589.1632386	222889.3205	46393.48769	10526.30206
646	3.00E+01	12	0.000669203	0.005052168	2.24E-03	4.64E+04	8.53E+03	1427.408106	269535.8014	100027.5106	34940.07039
647	30	6	0.000720686	0.005583884	1.66E-03	3.70E+04	2.73E+03	223.0825893	146615.6477	22323.0837	4865.907807
648	30	6	0.000804544	0.004974103	2.80E-03	2.43E+04	2.18E+03	193.7753042	96360.72935	18090.98085	4224.381149
649	3.00E+01	9	0.000932513	0.00271954	1.37E-03	1.61E+04	2.85E+03	457.576227	75104.72835	28159.99198	10629.83768
650	30	6	0.000802137	0.0030491	3.13E-03	8.28E+03	1.09E+03	127.4310849	32738.45491	9339.402356	2763.383963
651	36	12	0.000840853	0.002654329	2.13E-03	8.08E+03	1.70E+03	351.6948733	47935.20011	21464.3755	9918.48604
652	30	9	0.000855797	0.00101364	3.91E-03	1.37E+03	4.01E+02	130.1459204	6248.405447	3891.47456	2945.753496
653	24	12	0.000841504	0.001227275	3.61E-03	1.57E+03	7.14E+02	591.7940799	8063.58321	6768.675151	11125.87291
654	24	9	0.000886653	0.002663888	1.30E-03	1.93E+04	4.51E+03	1077.703843	83029.39862	40155.24175	20846.28112
655	24	6	0.000535459	0.001348781	1.81E-03	2.55E+03	6.17E+02	144.8791684	8582.426162	4532.306399	2569.541581
656	36	12	0.000755343	0.001519882	3.33E-03	1.68E+03	5.01E+02	172.1596399	9737.625418	6068.887877	4678.399176
657	2.40E+01	6	0.000695006	0.004333538	1.32E-03	4.85E+04	5.41E+03	520.7127169	172225.053	38420.75949	9320.369641
658	36	6	0.000737026	0.001208801	3.64E-03	1.10E+03	1.84E+02	25.23117168	5013.008402	1855.325824	581.6085055
659	24	9	0.000729056	0.005533586	2.06E-03	8.02E+04	1.38E+04	2069.654137	361546.8303	124071.5757	39782.9675
660	36	9	0.000623134	0.004703393	1.25E-03	3.67E+04	3.07E+03	259.0051544	185934.1908	32436.08853	6957.565151
661	36	12	0.000688698	0.001858326	1.02E-03	6.37E+03	1.33E+03	271.9029928	37843.68112	16795.68219	7661.110891
662	2.40E+01	6	0.000779216	0.001229843	1.76E-03	3.49E+03	8.05E+02	172.4552077	12036.48426	6047.303877	3124.365703
663	3.60E+01	6	0.000509551	0.001611571	2.42E-03	1.59E+03	2.19E+02	26.58299326	7148.459494	2170.225352	616.1602689
664	30	12	0.000843642	0.003108171	1.01E-03	2.67E+04	5.28E+03	1005.669706	151837.7508	61186.18826	24808.08234
665	30	9	0.000855961	0.002217537	3.15E-03	4.83E+03	1.18E+03	289.3272846	22270.62969	11643.84043	6642.342117
666	36	12	0.000591195	0.003014221	3.38E-03	6.66E+03	1.49E+03	329.8062112	39486.80435	18675.04461	9091.27103
667	24	9	0.000824451	0.003485918	3.54E-03	1.52E+04	4.06E+03	1171.864687	65008.35984	35587.72112	22139.62988
668	36	12	0.000922519	0.004581636	1.29E-03	4.60E+04	5.85E+03	670.3882355	272714.6781	70968.87696	19054.54407
669	3.00E+01	6	0.000982274	0.003336731	2.28E-03	1.36E+04	1.64E+03	181.7220221	53905.42833	13711.65961	3922.09877
670	36	12	0.000728	0.004197015	1.88E-03	2.68E+04	4.01E+03	525.9993943	160224.8818	49899.72264	14854.00181
671	36	12	0.00095318	0.004394358	3.13E-03	2.04E+04	3.53E+03	556.9938331	121422.4895	44304.85141	15758.31082
672	24	6	0.000811457	0.001214573	3.79E-03	1.90E+03	5.07E+02	137.6935917	6422.069273	3729.62054	2469.795612
673	36	6	0.000656921	0.002578221	1.27E-03	6.46E+03	6.09E+02	61.66179585	28595.32198	5731.368325	1495.38697
674	36	6	0.000677838	0.00251068	2.23E-03	4.54E+03	4.79E+02	49.81532601	20246.34727	4613.432507	1208.921034
675	30	9	0.000542818	0.005424043	3.37E-03	3.75E+04	5.37E+03	643.0094731	186772.0227	54230.86484	14754.44154
676	24	6	0.000713433	0.005403957	3.44E-03	4.23E+04	5.43E+03	569.6928127	151332.0302	39599.86675	10163.36083
677	36	6	0.00057206	0.004100694	3.63E-03	8.24E+03	6.45E+02	53.7938205	36725.06578	6237.598323	1326.333938
678	2.40E+01	12	0.000585983	0.00127468	2.10E-03	1.86E+03	8.17E+02	625.5117072	9614.809588	7824.298434	11737.69571
679	3.60E+01	12	0.000507682	0.002914458	3.20E-03	6.28E+03	1.41E+03	312.9957529	37342.8642	17686.8885	8590.383567
680	30	6	0.000970063	0.005972373	3.16E-03	3.30E+04	2.81E+03	248.2762335	130497.1998	23163.27939	5424.741533
681	36	6	0.000966936	0.003906851	1.51E-03	1.30E+04	1.18E+03	122.4021655	57287.09517	10796.22616	2994.998992
682	3.00E+01	6	0.000728941	0.005988834	1.14E-03	4.61E+04	3.19E+03	262.1790417	182136.4862	25816.93624	5717.625045
683	24	9	0.000671119	0.003597234	1.58E-03	3.23E+04	6.71E+03	1322.704509	141177.2354	59983.27486	25363.34918
684	24	9	0.000748049	0.002934983	3.75E-03	9.20E+03	2.73E+03	925.5447464	38806.02418	23427.97305	17227.26092
685	24	9	0.000955714	0.002205693	1.42E-03	1.26E+04	3.25E+03	910.2708061	53729.98392	28917.72824	17656.06628
686	36	9	0.000905875	0.004407419	3.82E-03	1.59E+04	2.08E+03	241.4370994	81239.1526	22814.40401	6492.209874
687	24	9	0.000637267	0.003360837	3.51E-03	1.34E+04	3.66E+03	1086.092291	57624.08774	31976.51523	20333.78849
688	30	9	0.000886775	0.002822929	2.37E-03	1.06E+04	2.12E+03	396.8465269	49327.69885	21125.88429	9189.335396
689	36	9	0.000644984	0.003446924	1.11E-03	2.09E+04	2.14E+03	210.6188885	105711.2048	22832.26079	5640.879118
690	30	12	0.000746961	0.001803363	3.36E-03	2.56E+03	8.97E+02	411.4782308	13930.92959	9708.719249	9535.471668
691	36	12	0.00083525	0.001482855	3.08E-03	1.96E+03	5.65E+02	183.6583555	11481.24149	6949.397888	5066.493135
692	30	9	0.000558822	0.002918579	2.74E-03	8.86E+03	1.80E+03	339.0472339	41335.08318	17944.16459	7698.948056
693	24	9	0.000980835	0.001907669	1.90E-03	7.65E+03	2.22E+03	741.1485742	32476.78515	19527.97452	14302.22448
694	24	6	0.000500878	0.003303713	1.66E-03	2.17E+04	3.04E+03	349.6139449	76589.57237	22282.64525	6224.802338
695	30	12	0.000851195	0.004619096	2.78E-03	3.07E+04	6.40E+03	1301.661149	175062.0322	74633.04192	31827.25937
696	36	9	0.000787881	0.0056852	2.14E-03	4.08E+04	3.59E+03	311.2963005	206972.4895	38120.45007	8393.013334
697	30	12	0.000807716	0.005101824	3.23E-03	3.50E+04	7.17E+03	1418.38518	200779.3864	83971.27158	34643.03723
698	30	9	0.00090362	0.003473216	1.60E-03	2.40E+04	3.77E+03	528.7215904	112130.5701	37042.52753	12275.01072
699	30	12	0.000600491	0.002253178	2.62E-03	4.76E+03	1.46E+03	540.6572315	26366.40039	16323.14246	12721.8738
700	24	12	0.000896711	0.00181224	2.64E-03	4.10E+03	1.65E+03	1053.152058	21907.86048	16610.75369	20807.78918
701	2.40E+01	12	0.000550614	0.002326482	2.89E-03	5.62E+03	2.18E+03	1295.281627	30362.266	22157.24071	25253.66688
702	30	6	0.00097284	0.001477973	3.93E-03	2.47E+03	4.72E+02	76.02600239	9895.197754	4180.640212	1637.786051
703	36	6	0.000611418	0.004084657	3.65E-03	8.23E+03	6.56E+02	55.94867477	36611.25153	6331.705698	1383.194041
704	3.60E+01	12	0.000538891	0.004920278	3.63E-03	2.30E+04	3.82E+03	556.3555859	141808.3929	48824.98987	15568.66244
705	36	6	0.000508109	0.005070931	3.46E-03	1.22E+04	8.12E+02	60.80382358	54386.6504	7807.846781	1506.792231
706	30	12	0.000811035	0.005030952	1.42E-03	6.76E+04	1.09E+04	1521.085825	388563.6079	124562.0349	37400.86716
707	30	9	0.000876866	0.003505579	1.20E-03	3.06E+04	4.39E+03	561.1487543	143033.8957	42614.47776	13020.85657
708	36	6	0.000904107	0.004201492	2.19E-03	1.20E+04	1.01E+03	98.84173663	52606.63998	9439.450568	2447.044487
709	2.40E+01	12	0.000589982	0.004680795	2.73E-03	3.84E+04	1.03E+04	3300.394556	223637.2492	115838.2735	68482.11979
710	30	9	0.000807444	0.002506429	1.04E-03	1.57E+04	2.69E+03	415.62389	73338.48525	26509.97547	9640.379369
711	36	6	0.000689849	0.003511973	3.97E-03	6.01E+03	5.62E+02	53.37575558	26807.97736	5460.800618	1315.054163
712	36	9	0.000954214	0.005994419	2.57E-03	4.19E+04	3.85E+03	350.1976759	211764.3158	40861.90105	9469.1824
713	24	6	0.000573005	0.004596318	1.40E-03	5.21E+04	5.59E+03	507.2709503	188324.4675	39880.91877	9051.151774
