Sample	m 	n	tcrease	tpanel	W	bend stiff 0.3	bend stiff 0.6	bend stiff 0.9	axial stiff 0.3	axial stiff 0.6	axial stiff 0.9
744	24	6	0.000621395	0.003823571	1.98E-03	1.82E+05	6.44E+04	24381.20168	722441.735	376877.9514	237011.0967
745	24	12	0.00093162	0.002213457	3.05E-03	1.19E+04	4.13E+03	3544.627919	59173.81146	40930.59737	61823.26674
746	36	12	0.000650065	0.00530565	3.82E-03	1.39E+05	3.77E+04	12654.37385	779113.4301	387716.4202	226037.5192
747	30	12	0.000778931	0.004084891	1.97E-03	1.11E+05	3.05E+04	10877.04525	606374.245	313211.8385	195344.1512
748	24	6	0.000829139	0.003784558	2.62E-03	1.50E+05	5.21E+04	21760.79939	539051.6426	295975.3025	209592.0351
749	36	6	0.000609117	0.002416444	2.11E-03	6.04E+04	2.28E+04	9206.422406	256311.2326	137539.3935	91264.64816
750	36	6	0.00091178	0.001569296	3.99E-03	1.38E+04	4.81E+03	3183.297844	39675.85441	25450.40681	30007.59161
751	36	6	0.000646769	0.00379168	3.57E-03	1.14E+05	4.50E+04	16383.70701	572427.0622	288350.0477	165567.1733
752	36	6	0.000986199	0.005755971	1.65E-03	2.72E+05	1.28E+05	35176.03343	3370729.997	1064412.4	377369.4066
753	24	9	0.000933386	0.003525575	2.96E-03	7.01E+04	2.18E+04	11282.60455	297998.5154	177018.4928	157299.5373
754	36	9	0.000920796	0.003279609	3.29E-03	6.50E+04	1.99E+04	8366.550757	299149.8837	164988.7529	118026.7539
755	36	6	0.000857506	0.004966764	1.62E-03	2.24E+05	1.03E+05	29209.08346	2367526.553	825636.4367	311633.1698
756	24	6	0.000751987	0.00593771	2.51E-03	3.87E+05	1.44E+05	45675.4537	2033056.778	930910.7616	456828.6113
757	24	9	0.000859161	0.005431031	1.26E-03	3.98E+05	1.09E+05	30094.69678	2318382.511	966329.0987	433133.8928
758	30	9	0.000672576	0.004788735	2.58E-03	1.89E+05	5.53E+04	18407.52308	1002839.979	485562.669	264503.5655
759	24	6	0.00078181	0.001219135	2.13E-03	9.41E+03	3.36E+03	3066.598939	24547.33835	17063.04541	27742.49442
760	24	9	0.000876075	0.001455693	3.42E-03	5.17E+03	1.95E+03	2281.995669	19235.55486	14237.94786	29019.24292
761	3.00E+01	9	0.000553465	0.002593076	2.13E-03	4.54E+04	1.41E+04	6889.837245	200245.238	116430.0449	96663.88752
762	36	6	0.000660314	0.005435345	2.46E-03	2.34E+05	1.05E+05	30571.88726	2179981.343	838007.0482	327158.2646
763	30	6	0.000814967	0.001472355	3.13E-03	1.29E+04	4.49E+03	3347.23151	35263.9163	23310.32965	31044.4589
764	24	6	0.00052837	0.003874879	2.39E-03	1.67E+05	5.86E+04	23354.1054	623141.6803	333721.0311	224925.4023
765	24	12	0.000958309	0.001161382	3.17E-03	1.97E+03	8.11E+02	1243.699456	9486.046456	7560.139182	19990.0898
766	24	12	0.00066828	0.005666741	1.98E-03	2.42E+05	6.29E+04	19979.4841	1343603.21	645507.2411	357959.4201
767	36	9	0.000506597	0.005929473	3.74E-03	2.44E+05	7.25E+04	21396.61166	1488937.323	662696.7426	313368.5024
768	24	9	0.000817102	0.001620166	3.82E-03	6.26E+03	2.32E+03	2607.694145	23436.80672	17146.67121	33398.66201
769	30	6	0.00092688	0.001422015	3.49E-03	1.07E+04	3.76E+03	3004.230528	28869.81526	19398.74329	27698.91627
770	30	6	0.000777789	0.002102176	2.56E-03	3.86E+04	1.34E+04	7117.785218	121402.4011	73158.50669	67927.46284
771	30	12	0.000713932	0.005145186	3.09E-03	1.41E+05	3.86E+04	13710.22536	767239.2566	394901.1239	245424.8361
772	36	9	0.000972561	0.004275777	1.10E-03	2.38E+05	6.98E+04	17880.00398	1698260.925	632205.0225	257698.7107
773	36	6	0.000579026	0.004256646	1.17E-03	1.93E+05	8.84E+04	24974.41345	2075575.126	728385.9097	268803.2335
774	36	6	0.000602906	0.003063287	1.73E-03	1.04E+05	4.26E+04	14483.93939	607676.3876	286604.2744	148427.0423
775	24	9	0.000779011	0.005563456	1.19E-03	4.34E+05	1.18E+05	31592.62246	2614723.904	1054809.596	456162.8337
776	3.00E+01	9	0.000544118	0.003888052	3.02E-03	9.97E+04	3.01E+04	12299.90513	476736.0647	257630.9148	174814.0322
777	24	12	0.000666767	0.003434627	2.25E-03	5.50E+04	1.65E+04	8328.5588	282177.9589	168015.6173	149804.4087
778	24	6	0.0009683	0.001586541	1.62E-03	2.47E+04	8.47E+03	5614.388859	69338.85829	44601.12394	52591.50311
779	30	9	0.000637655	0.001026431	2.94E-03	2.54E+03	9.54E+02	1157.551484	9415.233582	6969.915195	14667.89795
780	30	9	0.000717474	0.003705103	3.25E-03	8.29E+04	2.53E+04	11015.7139	380916.5323	212161.0175	155620.4364
781	30	9	0.000975386	0.002268663	2.72E-03	2.57E+04	8.26E+03	4951.352515	103418.6619	64627.68655	68207.35114
782	36	9	0.000960853	0.00358488	3.23E-03	8.28E+04	2.52E+04	9851.849897	395371.9094	210938.3877	139470.3878
783	30	6	0.000707145	0.002077047	1.25E-03	6.11E+04	2.20E+04	9291.757225	232389.1902	127770.7842	90697.29585
784	24	9	0.000949594	0.003749281	3.25E-03	7.64E+04	2.37E+04	12123.57667	326634.4175	193137.5015	169196.5145
785	30	9	0.000588027	0.003967356	2.69E-03	1.15E+05	3.44E+04	13276.04819	562908.9812	296261.8345	189201.7649
786	36	6	0.000776535	0.005054104	2.86E-03	2.02E+05	8.77E+04	26929.64909	1564401.319	652231.0568	283424.8619
787	24	9	0.000629938	0.005617499	2.51E-03	2.71E+05	7.78E+04	26204.12944	1389071.713	679007.7631	375232.1791
788	3.60E+01	12	0.000736473	0.004244897	2.80E-03	1.00E+05	2.75E+04	9689.145323	552102.8927	283061.9614	173625.6189
789	30	9	0.000923634	0.002498114	3.02E-03	3.04E+04	9.70E+03	5625.517619	124062.1062	76665.47052	77756.8133
790	30	6	0.000754808	0.005666392	2.47E-03	3.03E+05	1.24E+05	37221.47913	2144070.126	894110.8779	385373.9453
791	30	6	0.000879191	0.001872439	1.84E-03	3.71E+04	1.29E+04	6642.255849	119607.2682	71249.47159	63736.56686
792	3.00E+01	9	0.000905141	0.004982933	1.15E-03	3.37E+05	9.50E+04	24314.80712	2253769.537	855733.3065	351616.2296
793	3.00E+01	12	0.00071786	0.0023652	1.19E-03	3.86E+04	1.13E+04	5124.323067	201389.8045	115543.5011	92372.04502
794	36	9	0.000814043	0.004109904	1.96E-03	1.61E+05	4.80E+04	14554.16363	942814.2396	424975.7326	209730.5797
795	30	9	0.000853835	0.005278491	3.28E-03	2.02E+05	5.93E+04	20020.15759	1055314.864	516498.5782	286931.0509
796	36	9	0.000994636	0.003252434	3.68E-03	5.82E+04	1.79E+04	7896.748554	261025.575	146965.3605	111026.9939
797	30	6	0.000965554	0.004655759	1.84E-03	2.42E+05	9.83E+04	30088.34504	1604572.449	678997.1082	308053.1546
798	30	12	0.000501222	0.002284156	1.43E-03	2.96E+04	8.91E+03	4481.398857	152103.6826	90513.64029	80536.58493
799	2.40E+01	9	0.000696252	0.005954933	3.03E-03	2.73E+05	7.86E+04	27166.98816	1379825.976	683535.4709	388457.2756
800	36	9	0.000550705	0.00275903	2.65E-03	4.90E+04	1.51E+04	6671.573819	227271.2887	127270.6582	94416.67804
801	24	6	0.000533823	0.001006695	2.04E-03	5.65E+03	2.07E+03	2166.405268	14425.7572	10337.33391	19199.72704
802	36	12	0.000941766	0.004918852	1.42E-03	2.39E+05	5.84E+04	14991.1377	1535335.792	614830.6393	269492.9523
803	24	12	0.000648911	0.005445067	2.43E-03	1.84E+05	4.97E+04	17568.73546	989720.2219	506646.9624	314843.9064
804	24	12	0.000980513	0.004774083	2.74E-03	1.16E+05	3.29E+04	13614.00161	609362.3004	336970.8058	245391.8813
805	24	6	0.000862362	0.005849182	1.46E-03	4.58E+05	1.78E+05	50450.01415	3123570.75	1239114.025	514142.8029
806	36	6	0.000738097	0.001860593	1.57E-03	4.10E+04	1.52E+04	6551.319255	160200.7175	88823.85713	64321.93122
807	30	9	0.00075547	0.00290309	2.19E-03	6.03E+04	1.85E+04	8345.336065	267935.8331	151981.8553	117296.1791
808	30	9	0.000869616	0.001182676	2.43E-03	4.62E+03	1.65E+03	1635.492309	17339.03345	12290.45749	21455.32596
809	36	9	0.000983542	0.005646935	2.54E-03	2.74E+05	8.08E+04	22052.09857	1810194.984	734187.836	320598.4407
810	24	12	0.000732607	0.005779047	2.83E-03	1.90E+05	5.16E+04	18466.46094	1021639.178	526611.3989	331128.7775
811	2.40E+01	6	0.000924359	0.002432276	3.14E-03	4.37E+04	1.49E+04	9200.779028	125537.6808	79090.8218	86223.57564
812	24	12	0.000747271	0.005415962	2.79E-03	1.61E+05	4.44E+04	16667.55246	859323.3231	453732.0419	299157.3575
813	36	12	0.00081494	0.00489857	2.10E-03	1.80E+05	4.64E+04	13411.77406	1075640.559	483337.3131	240532.7495
814	3.60E+01	9	0.000552051	0.003531247	3.70E-03	7.12E+04	2.18E+04	9074.994969	342704.7371	186878.9557	129196.4293
815	24	9	0.000582578	0.001051884	2.70E-03	2.54E+03	1.00E+03	1394.486103	9335.246147	7189.727985	17154.23857
816	36	9	0.000534742	0.004562791	2.63E-03	1.69E+05	5.05E+04	15694.26912	990129.2532	455017.4243	228322.8191
817	36	9	0.000757378	0.00350292	1.17E-03	1.55E+05	4.58E+04	13128.21958	952624.515	407253.4594	189033.9001
818	36	6	0.000589628	0.005997881	1.45E-03	2.91E+05	1.39E+05	37137.23523	4262252.583	1277188.575	408069.5605
819	36	9	0.00071045	0.001433402	1.75E-03	1.20E+04	3.87E+03	2413.548741	47718.41217	30133.32395	33176.89501
820	30	12	0.000790396	0.003568991	1.69E-03	8.81E+04	2.45E+04	9140.844359	475046.963	251190.7771	164409.9411
821	36	6	0.000985323	0.002246076	1.81E-03	5.65E+04	2.14E+04	8658.582595	241285.2596	128842.1644	85564.04053
822	30	6	0.000831708	0.001339006	1.77E-03	1.63E+04	5.64E+03	3632.401955	46884.06234	29887.90836	34233.13305
823	30	12	0.000596727	0.002205452	1.38E-03	2.78E+04	8.39E+03	4282.701875	142660.8975	85310.9547	77060.70096
824	36	12	0.000939156	0.002472924	2.98E-03	2.14E+04	6.60E+03	3674.16481	109060.8046	66933.57311	66035.17126
825	24	9	0.000521761	0.003518778	1.58E-03	1.18E+05	3.51E+04	14086.4045	557564.7385	298705.0435	199743.4548
826	24	6	0.000935718	0.001497751	3.07E-03	1.20E+04	4.29E+03	3836.568007	31485.55743	21790.9305	34783.01005
827	3.00E+01	12	0.000764332	0.002201912	3.88E-03	1.06E+04	3.57E+03	2875.900073	52438.59537	35531.14098	50547.29231
828	2.40E+01	12	0.000701259	0.002673838	3.78E-03	1.66E+04	5.63E+03	4489.693218	82518.7002	56081.79594	78924.47604
829	36	9	0.000624485	0.003614929	2.46E-03	1.03E+05	3.10E+04	10976.13253	537837.265	270492.3148	157500.0415
830	24	6	0.00084251	0.004945344	2.22E-03	2.90E+05	1.06E+05	35679.97839	1356521.985	654629.9359	353103.189
831	30	12	0.000539577	0.004721424	2.04E-03	1.58E+05	4.20E+04	13623.53255	882773.4955	430548.3624	243471.6773
832	24	6	0.000621937	0.005959602	1.99E-03	4.27E+05	1.62E+05	48518.43482	2541939.902	1097320.599	490581.1199
833	24	6	0.000540747	0.001352107	3.87E-03	7.18E+03	2.64E+03	2818.954228	18237.53938	13136.5371	24915.7753
834	30	6	0.000508159	0.005644519	1.09E-03	3.62E+05	1.59E+05	42138.12831	4236114.495	1363949.51	450922.1213
835	30	6	0.000973763	0.003304808	2.33E-03	1.16E+05	4.29E+04	16483.09589	493607.231	257795.6827	162626.3745
836	24	6	0.00090062	0.003658813	2.17E-03	1.56E+05	5.47E+04	21990.63373	585313.0271	315334.6598	213137.7415
837	30	6	0.000543078	0.005872639	1.61E-03	3.56E+05	1.53E+05	42082.7609	3464139.262	1242308.584	445955.2613
838	24	9	0.000595112	0.005825008	3.27E-03	2.44E+05	7.08E+04	25576.59255	1199157.373	614218.5014	365145.0524
839	36	12	0.000865796	0.00378903	1.41E-03	1.28E+05	3.35E+04	10060.61153	752245.7083	348061.1903	180696.4814
840	24	6	0.000826064	0.003628706	2.77E-03	1.31E+05	4.53E+04	19835.83034	453380.3976	254171.5068	190130.6338
841	24	12	0.000996481	0.004483689	3.98E-03	6.94E+04	2.09E+04	10738.79277	355831.9936	213122.4879	193319.1384
842	24	6	0.000915993	0.003033848	3.91E-03	6.52E+04	2.22E+04	12555.28594	193188.9463	118646.5065	117997.9457
843	24	12	0.00094417	0.001325487	3.28E-03	2.71E+03	1.08E+03	1497.605124	13092.94764	10175.0596	24345.45407
844	24	12	0.000854222	0.002662681	1.16E-03	4.93E+04	1.46E+04	6872.721033	255531.0553	148781.8397	124146.077
845	30	6	0.00096337	0.005368357	2.92E-03	2.62E+05	1.05E+05	33181.32188	1582567.596	706381.1652	338358.0332
846	3.00E+01	9	0.000662614	0.003469791	1.81E-03	1.11E+05	3.30E+04	12146.239	547878.2198	282342.9796	172975.4794
847	24	12	0.000677553	0.003202184	3.57E-03	2.94E+04	9.47E+03	6250.24441	147496.8238	95327.39154	111434.243
848	3.00E+01	12	0.00093792	0.004023265	2.48E-03	8.76E+04	2.47E+04	9794.523463	466952.4421	253647.5281	176281.7856
849	24	6	0.000719799	0.003641749	1.56E-03	1.87E+05	6.70E+04	24331.0577	787047.2089	400193.6474	238341.1067
850	3.00E+01	9	0.000696914	0.002796383	2.04E-03	5.78E+04	1.77E+04	8016.726179	257309.7205	145989.0508	112726.7282
851	36	12	0.00084302	0.0042495	2.42E-03	1.13E+05	3.05E+04	10200.978	633194.334	315116.1069	183027.6259
852	24	12	0.000780219	0.003726238	1.18E-03	1.22E+05	3.33E+04	11947.7964	661676.7253	342445.6394	215321.9592
853	24	12	0.000615762	0.005216676	3.10E-03	1.33E+05	3.74E+04	15104.08759	695521.974	379389.8583	270746.8308
854	24	12	0.000981933	0.003221996	3.06E-03	3.47E+04	1.10E+04	6714.248502	175353.3186	110928.8576	120340.3421
855	30	12	0.000581124	0.005858471	3.32E-03	1.88E+05	5.01E+04	16590.38281	1035179.318	510904.1347	296166.9552
856	36	6	0.000644582	0.003146307	3.94E-03	7.45E+04	2.79E+04	11543.86856	304007.7329	165733.5139	113769.1576
857	30	12	0.000532459	0.005251774	3.05E-03	1.51E+05	4.09E+04	14230.005	818300.6806	415630.25	254033.9319
